id,nome,idade,renda_mensal,estado_civil,uf,data_cadastro,score_credito,categoria_produto,qtd_compras_12m,email
1618,Carla Gomes,18.0,"R$ 1.371,92",Divorciado,pa,2022-09-15,581.0, A,4,carla.gomes178@universidade.br
1630,Yasmin Dias,45.0,-2681.639865748432,solteiro  ,ac,2025-04-07,512.0,unknown,5,yasmin.dias43@gmail.com
1388,Felipe Yamamoto,17.0,,Divorc.  ,rn,2023-09-26,,unknown,2,felipe.yamamoto788@empresa.com.br
1099,Otávio Zanetti,49.0,2260.2923563383247,Viúvo  , sp ,2026-06-14,456.0, A ,1,otávio.zanetti514@hotmail.com
1627,Xavier Moraes,42.0,2181.827189935003,Solteiro,mt,2024-10-04,, A,14,xavier.moraes100@gmail.com
1191,Marina Nascimento,42.0,1780.2636808287389,,ms,2025-02-10,580.0,B,0,
1562,Nina Cardoso,48.0,2345.641089134547,Divorc.  ,pb,2022-02-08,, C,9,NINA.CARDOSO568UNIVERSIDADE.BR
1572,Vera Almeida,41.0,3992.6338607011294,,pe,2025-02-21,594.0,a ,6,vera.almeida3@empresa.com.br
1624,Marina Nascimento,22.0,1055.456959322632,Viúvo  ,sp,2022-03-12,,unknown,8,MARINA.NASCIMENTO371GMAIL.COM
1115,Paula Itaúna,56.0,2988.6037893613957,,mg,2023-08-09,538.0,—,3,paula.itaúna883@gmail.com
1306,João Esteves,43.0,2883.585715589896,Single  ,ce,2024-03-23,818.0,C,1,joão.esteves515@gmail.com
1600,Vera Queiroz,37.0,1892.1295124935077,Solteiro,sc,2024-11-27,514.0,A,5,vera.queiroz176@yahoo.com
1188,Tiago Gomes,36.0,2885.3829702767184,Divorc.,sp,2022-01-10,691.0, B,5,tiago.gomes220@hotmail.com
1132,Ulisses Vasconcelos,25.0,904.2320291577794,Single,ac,2022-08-09,723.0, A ,4,ulisses.vasconcelos138@yahoo.com
1220,Eduarda Yamamoto,17.0,"R$ 3055,00 reais",Casado,ma,2022-08-05,586.0,B,7,eduarda.yamamoto461@empresa.com.br
1433,Xavier Yamamoto,21.0,1043.2555286978452,Casado,pb,2022-01-07,785.0, A ,3,xavier.yamamoto978@empresa.com.br
1605,Paula Nascimento,44.0,2744.9198314220284,Single,es,2024-01-26,704.0,A,1,paula.nascimento774@gmail.com
1307,Otávio Ferraz,24.0,3764.7201747511554,—,ma,2024-09-17,544.0,C,13,otávio.ferraz42@hotmail.com
1256,Nina Moraes,57.0,4384.497802742801,Solteiro,mg,2023-12-04,765.0,B,5,nina.moraes731@hotmail.com
1232,Ulisses Pereira,42.0,4349.339691348885,Divorciado  ,rr,2023-04-03,, B,,ulisses.pereira604@hotmail.com
1109,Karen Zanetti,28.0,"R$ 1543,00 reais",Solteiro, sp ,2024-08-25,,B,dois,karen.zanetti852@hotmail.com
1229,William Lima,42.0,4745.298844758164,—,ma,2025-02-27,444.0, B,6,
1401,Paula Ximenes,48.0,"R$ 1.167,09",solteiro,rs,2022-10-21,674.0, UNKNOWN,3,paula.ximenes893@gmail.com
1138,Paula Ximenes,37.0,1761.5425223102097,,go,2024-11-28,493.0, B,5,paula.ximenes575@yahoo.com
1441,Ana Pereira,62.0,"R$ 2778,00 reais",Solteiro,ms,2022-07-04,758.0,B,2,ana.pereira668@universidade.br
1155,Xavier Ramos,62.0,2033.0000066668147,Divorc.,pb,2023-05-22,,a ,5,xavier.ramos355@hotmail.com
1558,Rafael Ferraz,45.0,5417.3388767944325,solteiro,pa,2023-05-18,658.0,unknown,9,rafael.ferraz723@universidade.br
1471,Nina Itaúna,50.0,3806.0779210574565,Viuvo,es,2024-02-04,457.0,a,6,nina.itaúna751universidade.br
1420,Otávio Queiroz,54.0,1112.8813708210737,—,ro,2024-05-12,, C,5,otávio.queiroz984@yahoo.com 
1439,Gabriela Nascimento,19.0,,  ,se,2023-10-27,567.0,A,0,gabriela.nascimento701@universidade.br
1450,Karen Nascimento,28.0,,—,ma,2025-03-20,564.0, A,6,karen.nascimento428gmail.com
1563,Carla Uchoa,52.0,7923.214822009936   reais,Divorciado  ,sc,2025-01-11,,a,7 compras,carla.uchoa801@hotmail.com
1202,William Yamamoto,32.0,570.0205449908483,,ce,2022-07-14,,A,7,WILLIAM.YAMAMOTO219EMPRESA.COM.BR
1057,Nina Ximenes,38.0,9984.589736963133,solteiro  ,al,2022-07-07,660.0,B,8,nina.ximenes985@universidade.br 
1330,Quésia Itaúna,14.0,1864.9170773969206,—,go,2022-04-21,901.0, C,13,quésia.itaúna819@empresa.com.br
1573,Isabel Dias,35.0,1824.7946544887868,Viuvo,ce,2024-01-11,651.0,c,5,NAN
1280,Zuleica Gomes,35.0,5037.602659360156,Casado,to,2022-04-06,552.0,B,8,zuleica.gomes858@universidade.br
1375,Xavier Ferraz,35.0,"R$ -201,00 reais",,rr,2023-12-29,480.0,B,9,xavier.ferraz310@hotmail.com
1320,Rafael Teixeira,59.0,"R$ 4188,00 reais",,am,2022-11-26,,a ,5,rafael.teixeira988@gmail.com
1098,Otávio Barbosa,54.0,4067.733547643629,solteiro,ba,2025-08-13,451.0,unknown,4,otávio.barbosa876@gmail.com
1544,Marina Yamamoto,32.0,1830.4263915838155,,ma,2025-03-22,644.0,A,dez,marina.yamamoto647@universidade.br
1262,Ana Klein,38.0,"R$ 1346,00 reais",Single  ,mg,2022-02-06,694.0,B,2,ana.klein5@hotmail.com
1146,Otávio Uchoa,19.0,3510.8237334021587,Divorciado  ,ac,2023-11-22,, UNKNOWN,13,otávio.uchoa303@universidade.br
1552,William Queiroz,44.0,3552.3994664411075,Casado  ,pa,2024-07-21,495.0,a ,6,william.queiroz34@hotmail.com
1308,Marina Pereira,33.0,880.6766039044131,Solteiro, sp ,2025-08-21,818.0,premium,12,marina.pereira106@universidade.br
